timestamp,pod_ip,running,waiting
1784075187.5,10.100.2.7,0,0
1784075187.5,10.100.2.6,0,0
1784075187.5,10.100.18.9,0,0
1784075189.6,10.100.2.7,0,0
1784075189.6,10.100.2.6,0,0
1784075189.6,10.100.18.9,0,0
1784075191.6,10.100.2.7,0,0
1784075191.6,10.100.2.6,0,0
1784075191.6,10.100.18.9,0,0
1784075193.6,10.100.2.7,0,0
1784075193.6,10.100.2.6,0,0
1784075193.6,10.100.18.9,0,0
1784075195.6,10.100.2.7,0,0
1784075195.6,10.100.2.6,0,0
1784075195.6,10.100.18.9,0,0
1784075197.6,10.100.2.7,0,0
1784075197.6,10.100.2.6,0,0
1784075197.6,10.100.18.9,0,0
1784075199.6,10.100.2.7,0,0
1784075199.6,10.100.2.6,0,0
1784075199.6,10.100.18.9,0,0
1784075201.7,10.100.2.7,0,0
1784075201.7,10.100.2.6,0,0
1784075201.7,10.100.18.9,0,0
1784075203.7,10.100.2.7,0,0
1784075203.7,10.100.2.6,0,0
1784075203.7,10.100.18.9,0,0
1784075205.7,10.100.2.7,0,0
1784075205.7,10.100.2.6,0,0
1784075205.7,10.100.18.9,0,0
1784075207.7,10.100.2.7,0,0
1784075207.7,10.100.2.6,0,0
1784075207.7,10.100.18.9,0,0
1784075209.7,10.100.2.7,0,0
1784075209.7,10.100.2.6,0,0
1784075209.7,10.100.18.9,0,0
1784075211.7,10.100.2.7,0,0
1784075211.7,10.100.2.6,0,0
1784075211.7,10.100.18.9,0,0
1784075213.7,10.100.2.7,0,0
1784075213.7,10.100.2.6,0,0
1784075213.7,10.100.18.9,0,0
1784075215.8,10.100.2.7,0,0
1784075215.8,10.100.2.6,0,0
1784075215.8,10.100.18.9,0,0
1784075217.8,10.100.2.7,0,0
1784075217.8,10.100.2.6,0,0
1784075217.8,10.100.18.9,0,0
1784075219.8,10.100.2.7,0,0
1784075219.8,10.100.2.6,0,0
1784075219.8,10.100.18.9,0,0
1784075221.8,10.100.2.7,0,0
1784075221.8,10.100.2.6,0,0
1784075221.8,10.100.18.9,0,0
1784075223.8,10.100.2.7,0,0
1784075223.8,10.100.2.6,0,0
1784075223.8,10.100.18.9,0,0
1784075225.8,10.100.2.7,0,0
1784075225.8,10.100.2.6,0,0
1784075225.8,10.100.18.9,0,0
1784075227.9,10.100.2.7,0,0
1784075227.9,10.100.2.6,0,0
1784075227.9,10.100.18.9,0,0
1784075229.9,10.100.2.7,0,0
1784075229.9,10.100.2.6,0,0
1784075229.9,10.100.18.9,0,0
1784075231.9,10.100.2.7,0,0
1784075231.9,10.100.2.6,0,0
1784075231.9,10.100.18.9,0,0
1784075234.0,10.100.2.7,0,0
1784075234.0,10.100.2.6,0,0
1784075234.0,10.100.18.9,0,0
1784075236.0,10.100.2.7,0,0
1784075236.0,10.100.2.6,0,0
1784075236.0,10.100.18.9,1,0
1784075238.0,10.100.2.7,0,0
1784075238.0,10.100.2.6,0,0
1784075238.0,10.100.18.9,0,0
1784075240.0,10.100.2.7,0,0
1784075240.0,10.100.2.6,0,0
1784075240.0,10.100.18.9,0,0
1784075242.0,10.100.2.7,0,0
1784075242.0,10.100.2.6,0,0
1784075242.0,10.100.18.9,0,0
1784075244.0,10.100.2.7,0,0
1784075244.0,10.100.2.6,0,0
1784075244.0,10.100.18.9,0,0
1784075246.0,10.100.2.7,0,0
1784075246.0,10.100.2.6,0,0
1784075246.0,10.100.18.9,0,0
1784075248.1,10.100.2.7,0,0
1784075248.1,10.100.2.6,0,0
1784075248.1,10.100.18.9,0,0
1784075250.1,10.100.2.7,2,0
1784075250.1,10.100.2.6,0,0
1784075250.1,10.100.18.9,0,0
1784075252.1,10.100.2.7,1,0
1784075252.1,10.100.2.6,0,0
1784075252.1,10.100.18.9,0,0
1784075254.1,10.100.2.7,0,0
1784075254.1,10.100.2.6,0,0
1784075254.1,10.100.18.9,0,0
1784075256.1,10.100.2.7,0,0
1784075256.1,10.100.2.6,0,0
1784075256.1,10.100.18.9,0,0
1784075258.1,10.100.2.7,2,0
1784075258.1,10.100.2.6,0,0
1784075258.1,10.100.18.9,0,0
1784075260.2,10.100.2.7,2,0
1784075260.2,10.100.2.6,0,0
1784075260.2,10.100.18.9,1,0
1784075262.2,10.100.2.7,2,0
1784075262.2,10.100.2.6,0,0
1784075262.2,10.100.18.9,2,0
1784075264.2,10.100.2.7,2,0
1784075264.2,10.100.2.6,0,0
1784075264.2,10.100.18.9,2,0
1784075266.2,10.100.2.7,2,0
1784075266.2,10.100.2.6,0,0
1784075266.2,10.100.18.9,2,0
1784075268.2,10.100.2.7,2,0
1784075268.2,10.100.2.6,0,0
1784075268.2,10.100.18.9,1,0
1784075270.2,10.100.2.7,2,0
