timestamp,pod_ip,running,waiting
1784072793.3,10.100.2.7,0,0
1784072793.3,10.100.2.6,0,0
1784072793.3,10.100.18.9,0,0
1784072795.4,10.100.2.7,0,0
1784072795.4,10.100.2.6,0,0
1784072795.4,10.100.18.9,0,0
1784072797.4,10.100.2.7,0,0
1784072797.4,10.100.2.6,0,0
1784072797.4,10.100.18.9,0,0
1784072799.4,10.100.2.7,0,0
1784072799.4,10.100.2.6,0,0
1784072799.4,10.100.18.9,0,0
1784072801.4,10.100.2.7,0,0
1784072801.4,10.100.2.6,0,0
1784072801.4,10.100.18.9,0,0
1784072803.4,10.100.2.7,0,0
1784072803.4,10.100.2.6,0,0
1784072803.4,10.100.18.9,0,0
1784072805.4,10.100.2.7,0,0
1784072805.4,10.100.2.6,0,0
1784072805.4,10.100.18.9,0,0
1784072807.4,10.100.2.7,0,0
1784072807.4,10.100.2.6,0,0
1784072807.4,10.100.18.9,0,0
1784072809.4,10.100.2.7,0,0
1784072809.4,10.100.2.6,0,0
1784072809.4,10.100.18.9,0,0
1784072811.5,10.100.2.7,0,0
1784072811.5,10.100.2.6,0,0
1784072811.5,10.100.18.9,0,0
1784072813.5,10.100.2.7,0,0
1784072813.5,10.100.2.6,0,0
1784072813.5,10.100.18.9,0,0
1784072815.5,10.100.2.7,0,0
1784072815.5,10.100.2.6,0,0
1784072815.5,10.100.18.9,0,0
1784072817.5,10.100.2.7,0,0
1784072817.5,10.100.2.6,0,0
1784072817.5,10.100.18.9,0,0
1784072819.5,10.100.2.7,0,0
1784072819.5,10.100.2.6,1,0
1784072819.5,10.100.18.9,0,0
1784072821.5,10.100.2.7,0,0
1784072821.5,10.100.2.6,1,0
1784072821.5,10.100.18.9,0,0
1784072823.5,10.100.2.7,0,0
1784072823.5,10.100.2.6,1,0
1784072823.5,10.100.18.9,0,0
1784072825.6,10.100.2.7,0,0
1784072825.6,10.100.2.6,1,0
1784072825.6,10.100.18.9,0,0
1784072827.6,10.100.2.7,0,0
1784072827.6,10.100.2.6,1,0
1784072827.6,10.100.18.9,0,0
1784072829.6,10.100.2.7,0,0
1784072829.6,10.100.2.6,3,0
1784072829.6,10.100.18.9,0,0
1784072831.6,10.100.2.7,0,0
1784072831.6,10.100.2.6,3,0
1784072831.6,10.100.18.9,1,0
1784072833.6,10.100.2.7,0,0
1784072833.6,10.100.2.6,3,0
1784072833.6,10.100.18.9,0,0
1784072835.6,10.100.2.7,0,0
1784072835.6,10.100.2.6,2,0
1784072835.6,10.100.18.9,0,0
1784072837.6,10.100.2.7,0,0
1784072837.6,10.100.2.6,2,0
1784072837.6,10.100.18.9,0,0
1784072839.7,10.100.2.7,0,0
1784072839.7,10.100.2.6,2,0
1784072839.7,10.100.18.9,0,0
1784072841.7,10.100.2.7,0,0
1784072841.7,10.100.2.6,2,0
1784072841.7,10.100.18.9,0,0
1784072843.7,10.100.2.7,0,0
1784072843.7,10.100.2.6,4,0
1784072843.7,10.100.18.9,0,0
1784072845.7,10.100.2.7,0,0
1784072845.7,10.100.2.6,4,0
1784072845.7,10.100.18.9,0,0
1784072847.7,10.100.2.7,0,0
1784072847.7,10.100.2.6,6,0
