t,token_usage,kv_available,kv_evictable,evicted_total
1784268075,0.0,321612.0,2.0,0
1784268076,0.0,321612.0,2.0,0
1784268077,0.0,321612.0,2.0,0
1784268078,0.0,321612.0,2.0,0
1784268079,0.0,321612.0,2.0,0
1784268080,0.03,313226.0,2.0,0
1784268081,0.03,312758.0,2.0,0
1784268082,0.03,311798.0,2.0,0
1784268083,0.03,311318.0,2.0,0
1784268084,0.05,305308.0,2.0,0
1784268085,0.06,301342.0,467.0,0
1784268086,0.07,296922.0,745.0,0
1784268087,0.08,295162.0,1058.0,0
1784268088,0.1,288511.0,1628.0,0
1784268089,0.1,287726.0,1767.0,0
1784268090,0.11,283305.0,3580.0,0
1784268091,0.11,281886.0,3888.0,0
1784268092,0.13,274578.0,6560.0,0
1784268093,0.13,271604.0,7798.0,0
1784268094,0.14,266025.0,9411.0,0
1784268095,0.15,262698.0,11697.0,0
1784268096,0.15,257731.0,16003.0,0
1784268097,0.16,252424.0,16947.0,0
1784268098,0.18,245709.0,17551.0,0
1784268099,0.19,241192.0,19248.0,0
1784268100,0.19,238610.0,20658.0,0
1784268102,0.19,234020.0,25559.0,0
1784268103,0.21,228138.0,27208.0,0
1784268104,0.22,223560.0,27670.0,0
1784268105,0.23,219833.0,28558.0,0
1784268106,0.22,216590.0,34648.0,0
1784268107,0.22,214320.0,36470.0,0
1784268108,0.24,206867.0,38493.0,0
1784268109,0.26,201161.0,38098.0,0
1784268110,0.26,195732.0,42825.0,0
1784268111,0.25,192367.0,47578.0,0
1784268112,0.27,185038.0,48993.0,0
1784268113,0.28,182302.0,49995.0,0
1784268114,0.27,179257.0,55598.0,0
1784268115,0.28,175261.0,56597.0,0
1784268116,0.29,169375.0,59810.0,0
1784268117,0.28,165686.0,66880.0,0
1784268118,0.28,163512.0,69097.0,0
1784268119,0.26,159134.0,78557.0,0
1784268120,0.27,154488.0,81248.0,0
1784268121,0.27,149620.0,85981.0,0
1784268122,0.28,146040.0,85930.0,0
1784268123,0.28,143768.0,87704.0,0
1784268124,0.29,140741.0,88830.0,0
1784268125,0.25,137644.0,102742.0,0
1784268126,0.25,134316.0,106986.0,0
1784268127,0.24,130489.0,112870.0,0
1784268128,0.25,127626.0,113540.0,0
1784268129,0.24,125065.0,118651.0,0
1784268130,0.24,121930.0,121617.0,0
1784268131,0.24,119801.0,126227.0,0
1784268132,0.24,118138.0,126476.0,0
1784268133,0.22,116399.0,134074.0,0
1784268134,0.23,113444.0,135482.0,0
1784268135,0.25,109859.0,131189.0,0
1784268136,0.25,108637.0,131321.0,0
1784268137,0.26,106061.0,132516.0,0
1784268138,0.26,103647.0,135874.0,0
1784268139,0.26,101740.0,137821.0,0
1784268140,0.25,100098.0,141331.0,0
1784268141,0.25,96133.0,143757.0,0
1784268143,0.26,94351.0,144275.0,0
1784268144,0.27,90793.0,142898.0,0
1784268145,0.27,89720.0,145225.0,0
1784268146,0.27,88498.0,146740.0,0
1784268147,0.26,86037.0,152482.0,0
1784268148,0.25,83631.0,157431.0,0
1784268149,0.25,81943.0,158424.0,0
1784268150,0.24,80659.0,162630.0,0
1784268151,0.25,76878.0,163518.0,0
1784268152,0.25,74489.0,168325.0,0
1784268153,0.25,72559.0,169410.0,0
1784268154,0.21,71607.0,183130.0,0
1784268155,0.21,70755.0,183220.0,0
1784268156,0.21,68127.0,186656.0,0
1784268157,0.21,66826.0,187330.0,0
1784268158,0.21,66232.0,187386.0,0
1784268159,0.19,65300.0,196053.0,0
1784268160,0.17,64938.0,201809.0,0
1784268161,0.17,62072.0,203888.0,0
1784268162,0.18,61138.0,204010.0,0
1784268163,0.18,60418.0,204010.0,0
1784268164,0.18,57683.0,206370.0,0
1784268165,0.18,55488.0,208172.0,0
1784268166,0.18,52972.0,209161.0,0
1784268167,0.19,52252.0,209161.0,0
1784268168,0.19,51892.0,209161.0,0
1784268169,0.19,51172.0,209161.0,0
1784268170,0.15,50863.0,223353.0,0
1784268171,0.13,49289.0,230803.0,0
1784268172,0.13,49049.0,230803.0,0
1784268173,0.13,47293.0,231346.0,0
1784268174,0.11,46652.0,240410.0,0
1784268175,0.11,46252.0,240410.0,0
1784268176,0.11,46052.0,240410.0,0
1784268178,0.11,44425.0,241609.0,0
1784268179,0.11,44025.0,241609.0,0
1784268180,0.11,43825.0,241609.0,0
1784268181,0.12,42393.0,241449.0,0
1784268182,0.12,40028.0,242413.0,0
1784268183,0.07,39542.0,259919.0,0
1784268184,0.07,39262.0,259919.0,0
1784268185,0.07,38503.0,260092.0,0
1784268186,0.07,37555.0,260454.0,0
1784268187,0.07,36711.0,260879.0,0
1784268188,0.08,35930.0,261006.0,0
1784268189,0.08,35097.0,261528.0,0
1784268190,0.08,32763.0,261644.0,0
1784268191,0.09,31023.0,262830.0,0
