t,token_usage,kv_available,kv_evictable,evicted_total
1784268342,0.0,3973.0,317641.0,0
1784268343,0.0,3973.0,317641.0,0
1784268344,0.0,3973.0,317641.0,0
1784268345,0.0,3973.0,317641.0,0
1784268346,0.0,3973.0,317641.0,0
1784268347,0.0,3973.0,317641.0,0
1784268348,0.0,3973.0,317641.0,0
1784268349,0.0,3973.0,317641.0,0
1784268350,0.0,3973.0,317641.0,0
1784268351,0.0,3973.0,317641.0,0
1784268352,0.0,3973.0,317641.0,0
1784268353,0.0,3973.0,317641.0,0
1784268354,0.0,3973.0,317641.0,0
1784268355,0.0,3973.0,317641.0,0
1784268356,0.0,3973.0,317641.0,0
1784268357,0.0,3973.0,317641.0,0
1784268358,0.0,3973.0,317641.0,0
1784268359,0.0,3973.0,317641.0,31410
1784268360,0.03,18623.0,294605.0,46072
1784268361,0.03,17687.0,294605.0,46072
1784268362,0.03,17207.0,294605.0,46072
1784268363,0.03,16727.0,294605.0,46072
1784268364,0.05,10289.0,294605.0,46072
1784268365,0.06,6803.0,295070.0,46072
1784268366,0.07,2419.0,295348.0,46072
1784268368,0.08,658.0,295661.0,47424
1784268369,0.1,1958.0,289028.0,60478
1784268370,0.1,53.0,287855.0,65164
1784268371,0.11,319.0,285986.0,71474
1784268372,0.11,386.0,285108.0,78722
1784268373,0.13,353.0,280450.0,88686
1784268374,0.14,673.0,276281.0,97386
1784268375,0.14,214.0,275206.0,105732
1784268376,0.15,89.0,274150.0,115282
1784268377,0.16,165.0,271507.0,126040
1784268378,0.17,356.0,265717.0,137608
1784268379,0.18,197.0,262449.0,146774
1784268380,0.19,20.0,260204.0,155512
1784268381,0.19,492.0,258831.0,162438
1784268382,0.2,338.0,257206.0,172118
1784268383,0.21,1071.0,252372.0,184792
1784268384,0.22,1135.0,249549.0,192926
1784268385,0.23,290.0,247320.0,198922
1784268386,0.22,561.0,250216.0,205928
1784268387,0.22,436.0,250452.0,218152
1784268388,0.24,947.0,244350.0,238028
1784268389,0.25,1595.0,238270.0,238028
1784268390,0.26,25.0,239417.0,245828
1784268391,0.25,395.0,239671.0,256184
1784268392,0.28,161.0,232916.0,268320
1784268393,0.27,544.0,234010.0,274486
1784268394,0.28,631.0,232264.0,282724
1784268395,0.29,978.0,228657.0,294576
1784268396,0.28,882.0,229989.0,300288
1784268397,0.28,417.0,232080.0,307168
1784268398,0.27,755.0,234185.0,313706
1784268399,0.26,686.0,236116.0,320696
1784268400,0.27,12.0,235169.0,332432
1784268401,0.28,1432.0,231608.0,340622
1784268402,0.28,577.0,230882.0,345742
1784268404,0.28,1093.0,231022.0,353236
1784268405,0.27,199.0,236124.0,359012
1784268406,0.26,191.0,238971.0,365294
1784268407,0.24,754.0,244499.0,371278
1784268408,0.25,277.0,241853.0,377886
1784268409,0.25,535.0,240888.0,385246
1784268410,0.24,297.0,244588.0,389894
1784268411,0.23,449.0,246166.0,395324
1784268412,0.24,936.0,244265.0,399518
1784268413,0.23,301.0,247561.0,402238
1784268414,0.22,2454.0,247295.0,411582
1784268415,0.23,670.0,245538.0,411582
1784268416,0.25,222.0,239937.0,417806
1784268417,0.26,832.0,238330.0,422558
1784268418,0.26,2386.0,237206.0,432638
1784268419,0.26,388.0,239153.0,432638
1784268420,0.25,1754.0,240151.0,437662
1784268421,0.25,1045.0,240149.0,440052
1784268422,0.26,549.0,238501.0,446850
1784268423,0.27,390.0,233583.0,453932
1784268424,0.27,202.0,234790.0,456172
1784268425,0.27,214.0,234993.0,458796
1784268426,0.27,383.0,234258.0,464080
1784268427,0.26,2244.0,235765.0,468912
1784268428,0.25,1766.0,238674.0,472816
1784268429,0.24,368.0,242961.0,474640
1784268430,0.25,426.0,240138.0,482062
1784268431,0.25,251.0,239614.0,484810
1784268432,0.25,1057.0,241504.0,491114
1784268433,0.24,617.0,244961.0,492618
1784268434,0.21,448.0,253816.0,493930
1784268436,0.21,72.0,255061.0,498058
1784268437,0.21,5565.0,249193.0,510228
1784268438,0.21,3928.0,249867.0,510228
1784268439,0.2,2988.0,255896.0,510228
1784268440,0.17,2403.0,264346.0,510228
1784268441,0.17,590.0,265614.0,511850
1784268442,0.17,151.0,265660.0,513184
1784268443,0.18,277.0,264512.0,514298
1784268444,0.18,416.0,263944.0,520154
1784268445,0.18,608.0,263261.0,525322
1784268446,0.18,493.0,262636.0,530454
1784268447,0.19,190.0,261585.0,530454
1784268448,0.19,22.0,261393.0,532630
1784268449,0.19,198.0,260497.0,532630
1784268450,0.19,750.0,259585.0,534454
1784268451,0.13,1115.0,279227.0,538358
1784268452,0.13,815.0,279275.0,538358
1784268453,0.13,337.0,278522.0,540950
1784268454,0.11,587.0,286594.0,542934
1784268455,0.11,277.0,286594.0,542934
1784268456,0.11,245.0,286226.0,543670
1784268457,0.11,286.0,285937.0,546646
1784268458,0.11,328.0,285515.0,547490
1784268459,0.11,128.0,285515.0,548222
1784268460,0.12,442.0,283741.0,550718
1784268461,0.12,814.0,282877.0,554268
1784268462,0.12,288.0,281954.0,556220
1784268463,0.07,1141.0,298293.0,558554
1784268464,0.07,581.0,298293.0,558554
1784268465,0.07,1445.0,296843.0,561800
1784268466,0.07,777.0,297205.0,561800
1784268467,0.08,454.0,296941.0,563178
1784268468,0.08,379.0,296387.0,565584
1784268469,0.08,1965.0,292695.0,573200
1784268470,0.08,1685.0,292695.0,575504
1784268471,0.09,860.0,292729.0,575504
1784268472,0.09,244.0,293457.0,577200
1784268474,0.09,324.0,292714.0,578842
1784268475,0.09,443.0,292115.0,580040
1784268476,0.09,239.0,291839.0,580592
1784268477,0.07,28.0,300680.0,580944
1784268478,0.05,1033.0,304091.0,583344
1784268479,0.05,1174.0,303705.0,586464
1784268480,0.05,1342.0,303258.0,590598
1784268481,0.05,1102.0,303258.0,590598
1784268482,0.06,471.0,302784.0,593256
1784268483,0.06,72.0,302783.0,593422
1784268484,0.06,549.0,302066.0,594856
1784268485,0.06,429.0,302066.0,594856
1784268486,0.06,189.0,302066.0,594856
1784268487,0.04,65.0,309031.0,595022
1784268488,0.04,229.0,308707.0,595670
1784268489,0.04,149.0,308707.0,595670
1784268490,0.04,401.0,308289.0,597582
1784268491,0.03,995.0,309575.0,599918
1784268492,0.03,915.0,309575.0,599918
1784268493,0.03,875.0,309575.0,599918
1784268494,0.03,795.0,309575.0,599918
1784268495,0.04,715.0,309575.0,599918
1784268496,0.04,635.0,309575.0,599918
1784268497,0.04,555.0,309575.0,599918
1784268498,0.04,515.0,309575.0,599918
1784268499,0.04,811.0,309192.0,601902
1784268500,0.04,263.0,309265.0,601902
1784268501,0.04,183.0,309265.0,601902
1784268502,0.04,702.0,308288.0,604110
1784268503,0.04,622.0,308288.0,604110
1784268504,0.04,542.0,308288.0,604110
1784268505,0.04,462.0,308288.0,604110
1784268506,0.04,382.0,308288.0,604110
1784268507,0.04,342.0,308288.0,604110
1784268508,0.04,262.0,308288.0,604110
1784268509,0.04,319.0,308112.0,605550
1784268510,0.04,248.0,308112.0,605550
1784268511,0.04,230.0,307830.0,606350
1784268512,0.04,150.0,307830.0,606350
1784268513,0.04,70.0,307830.0,606350
1784268515,0.04,230.0,307590.0,606830
1784268516,0.04,150.0,307590.0,606830
1784268517,0.04,332.0,307302.0,608206
1784268518,0.04,9.0,307353.0,608942
1784268519,0.04,297.0,306985.0,608942
1784268520,0.04,217.0,306985.0,608942
1784268521,0.05,491.0,306639.0,610062
1784268522,0.05,411.0,306639.0,610062
1784268523,0.05,102.0,306827.0,610062
1784268524,0.05,31.0,306827.0,610062
1784268525,0.05,495.0,306283.0,611150
1784268526,0.05,256.0,306450.0,611150
1784268527,0.05,136.0,306450.0,611150
1784268528,0.05,325.0,306186.0,612078
1784268529,0.05,245.0,306186.0,613294
1784268530,0.05,267.0,305694.0,613294
1784268531,0.05,187.0,305694.0,613294
1784268532,0.05,147.0,305694.0,613294
1784268533,0.05,67.0,305694.0,613294
1784268534,0.05,451.0,305230.0,614222
1784268535,0.05,371.0,305230.0,614222
1784268536,0.05,291.0,305230.0,614222
1784268537,0.05,251.0,305230.0,614222
1784268538,0.05,1078.0,304316.0,617294
1784268539,0.05,998.0,304316.0,617294
1784268540,0.05,467.0,304418.0,617294
1784268541,0.05,387.0,304418.0,617294
1784268542,0.05,307.0,304418.0,617294
1784268543,0.05,227.0,304418.0,617294
1784268545,0.05,147.0,304418.0,617294
1784268546,0.05,107.0,304418.0,617294
1784268547,0.05,27.0,304418.0,617294
1784268548,0.05,1381.0,302977.0,621294
1784268549,0.05,874.0,303053.0,621294
1784268550,0.06,823.0,303053.0,621294
1784268551,0.06,743.0,303053.0,621294
1784268552,0.06,663.0,303053.0,621294
1784268553,0.06,583.0,303053.0,621294
1784268554,0.06,503.0,303053.0,621294
1784268555,0.06,463.0,303053.0,621294
1784268556,0.06,383.0,303053.0,621294
1784268557,0.06,780.0,302297.0,623982
1784268558,0.06,711.0,302297.0,623982
1784268559,0.06,348.0,302382.0,623982
1784268560,0.06,268.0,302382.0,623982
1784268561,0.06,188.0,302382.0,623982
1784268562,0.06,108.0,302382.0,623982
1784268563,0.06,68.0,302382.0,623982
1784268564,0.06,52.0,302318.0,624110
1784268565,0.06,308.0,301982.0,624782
1784268566,0.06,228.0,301982.0,624782
1784268567,0.06,188.0,301982.0,624782
1784268568,0.06,108.0,301982.0,624782
1784268569,0.06,357.0,301622.0,626926
1784268570,0.06,57.0,301709.0,626926
1784268571,0.06,17.0,301709.0,627406
1784268572,0.06,177.0,301469.0,627406
1784268573,0.06,97.0,301469.0,627406
1784268574,0.06,57.0,301469.0,627406
1784268575,0.06,57.0,301469.0,627406
1784268576,0.06,57.0,301469.0,627406
1784268577,0.06,57.0,301469.0,627406
