t,token_usage,kv_available,kv_evictable,evicted_total
1784268072,0.0,321612.0,2.0,0
1784268073,0.0,321612.0,2.0,0
1784268074,0.0,321612.0,2.0,0
1784268075,0.0,321612.0,2.0,0
1784268076,0.0,321612.0,2.0,0
1784268077,0.0,321612.0,2.0,0
1784268078,0.05,306227.0,2.0,0
1784268079,0.03,313226.0,2.0,0
1784268080,0.03,312290.0,2.0,0
1784268081,0.03,311810.0,2.0,0
1784268082,0.05,306308.0,2.0,0
1784268083,0.05,304784.0,2.0,0
1784268084,0.07,299303.0,467.0,0
1784268085,0.07,296858.0,745.0,0
1784268086,0.08,293657.0,1058.0,0
1784268087,0.1,288819.0,1628.0,0
1784268088,0.11,284587.0,2814.0,0
1784268089,0.11,282030.0,3888.0,0
1784268090,0.12,277220.0,6490.0,0
1784268091,0.13,274073.0,6561.0,0
1784268092,0.14,269013.0,8506.0,0
1784268093,0.14,265016.0,10315.0,0
1784268094,0.15,261416.0,12535.0,0
1784268095,0.16,257304.0,14407.0,0
1784268096,0.17,250607.0,15640.0,0
1784268097,0.19,245968.0,15865.0,0
1784268098,0.19,242325.0,17792.0,0
1784268099,0.2,238489.0,20285.0,0
1784268100,0.2,235403.0,22347.0,0
1784268101,0.21,229828.0,24424.0,0
1784268102,0.22,225753.0,24911.0,0
1784268103,0.23,222348.0,25152.0,0
1784268104,0.22,223530.0,27604.0,0
1784268105,0.22,221367.0,29373.0,0
1784268107,0.24,215887.0,27224.0,0
1784268108,0.25,213289.0,26364.0,0
1784268109,0.25,213135.0,26804.0,0
1784268110,0.26,210072.0,28917.0,0
1784268111,0.28,203250.0,29655.0,0
1784268112,0.28,201872.0,30313.0,0
1784268113,0.28,203890.0,29169.0,0
1784268114,0.28,199832.0,31291.0,0
1784268115,0.28,198678.0,32208.0,0
1784268116,0.28,203746.0,29351.0,0
1784268117,0.27,205962.0,28974.0,0
1784268118,0.26,208591.0,28203.0,0
1784268119,0.27,202813.0,31292.0,0
1784268120,0.28,199102.0,33656.0,0
1784268121,0.28,196675.0,34815.0,0
1784268122,0.29,195583.0,34356.0,0
1784268123,0.27,200785.0,32835.0,0
1784268124,0.25,210068.0,29543.0,0
1784268125,0.24,214702.0,28213.0,0
1784268126,0.25,215366.0,27402.0,0
1784268127,0.25,214530.0,27622.0,0
1784268128,0.24,214958.0,28174.0,0
1784268129,0.24,218344.0,27235.0,0
1784268130,0.24,218759.0,27151.0,0
1784268131,0.24,217207.0,27314.0,0
1784268132,0.22,216592.0,33105.0,0
1784268133,0.23,214660.0,34093.0,0
1784268134,0.25,212618.0,28116.0,0
1784268135,0.26,210587.0,28885.0,0
1784268136,0.26,208139.0,30160.0,0
1784268138,0.25,211149.0,28605.0,0
1784268139,0.25,209100.0,32780.0,0
1784268140,0.25,207112.0,33973.0,0
1784268141,0.26,203311.0,35724.0,0
1784268142,0.26,204215.0,35017.0,0
1784268143,0.27,203621.0,31294.0,0
1784268144,0.27,204740.0,30657.0,0
1784268145,0.27,202604.0,32012.0,0
1784268146,0.26,208395.0,29622.0,0
1784268147,0.25,212145.0,28782.0,0
1784268148,0.24,215256.0,28292.0,0
1784268149,0.25,211331.0,29180.0,0
1784268150,0.25,209828.0,29967.0,0
1784268151,0.25,212771.0,29778.0,0
1784268152,0.24,218359.0,27228.0,0
1784268153,0.21,225394.0,28853.0,0
1784268154,0.21,232501.0,22676.0,0
1784268155,0.21,231749.0,23005.0,0
1784268156,0.21,230328.0,23679.0,0
1784268157,0.19,238352.0,20842.0,0
1784268158,0.19,242018.0,19317.0,0
1784268159,0.17,246406.0,19925.0,0
1784268160,0.17,245535.0,20284.0,0
1784268161,0.18,244770.0,20360.0,0
1784268162,0.18,244050.0,20360.0,0
1784268163,0.18,241315.0,22720.0,0
1784268164,0.18,237685.0,25451.0,0
1784268165,0.19,236550.0,25511.0,0
1784268166,0.19,235884.0,25511.0,0
1784268167,0.19,235524.0,25511.0,0
1784268168,0.19,234804.0,25511.0,0
