t,token_usage,kv_available,kv_evictable,evicted_total
1784268664,0.0,321612.0,2.0,0
1784268665,0.0,321612.0,2.0,0
1784268666,0.0,321612.0,2.0,0
1784268667,0.0,321612.0,2.0,0
1784268668,0.0,321612.0,2.0,0
1784268669,0.0,321612.0,2.0,0
1784268670,0.0,321612.0,2.0,0
1784268671,0.0,321612.0,2.0,0
1784268672,0.0,321612.0,2.0,0
1784268673,0.0,321612.0,2.0,0
1784268674,0.0,321612.0,2.0,0
1784268675,0.0,321612.0,2.0,0
1784268676,0.0,321612.0,2.0,0
1784268677,0.05,306227.0,2.0,0
1784268678,0.03,313226.0,2.0,0
1784268679,0.03,312290.0,2.0,0
1784268680,0.03,311810.0,2.0,0
1784268681,0.04,308216.0,2.0,0
1784268682,0.05,304796.0,2.0,0
1784268683,0.07,299005.0,467.0,0
1784268684,0.07,296884.0,745.0,0
1784268685,0.08,295123.0,1058.0,0
1784268686,0.1,289364.0,1628.0,0
1784268687,0.11,285073.0,2638.0,0
1784268688,0.11,282308.0,3828.0,0
1784268689,0.11,279325.0,5496.0,0
1784268690,0.13,274051.0,6560.0,0
1784268691,0.14,269383.0,7334.0,0
1784268692,0.14,266466.0,8769.0,0
1784268693,0.15,261740.0,12448.0,0
1784268694,0.16,257233.0,14405.0,0
1784268695,0.17,250267.0,15638.0,0
1784268696,0.18,246795.0,15713.0,0
1784268697,0.19,242297.0,17789.0,0
1784268698,0.19,238237.0,20742.0,0
1784268699,0.2,235420.0,22344.0,0
1784268701,0.21,229397.0,23716.0,0
1784268702,0.22,225770.0,24907.0,0
1784268703,0.23,222364.0,25148.0,0
1784268704,0.22,221748.0,29418.0,0
1784268705,0.22,221360.0,29370.0,0
1784268706,0.24,217917.0,27220.0,0
1784268707,0.25,213308.0,26361.0,0
1784268708,0.25,213410.0,26802.0,0
1784268709,0.26,211136.0,27994.0,0
1784268710,0.27,203547.0,29743.0,0
1784268711,0.27,205529.0,29185.0,0
1784268712,0.27,204453.0,29168.0,0
1784268713,0.29,198551.0,31221.0,0
1784268714,0.28,198619.0,32209.0,0
1784268715,0.28,200765.0,31778.0,0
1784268716,0.28,203365.0,29484.0,0
1784268717,0.26,208613.0,28204.0,0
1784268718,0.27,203994.0,31164.0,0
1784268719,0.28,199164.0,33659.0,0
1784268720,0.28,196781.0,34818.0,0
1784268721,0.28,196294.0,34304.0,0
1784268722,0.28,196316.0,34323.0,0
1784268723,0.25,210213.0,29545.0,0
1784268724,0.25,214376.0,28284.0,0
1784268725,0.25,215408.0,27405.0,0
1784268726,0.25,213010.0,28075.0,0
1784268727,0.24,214993.0,28177.0,0
1784268728,0.24,215018.0,28542.0,0
1784268729,0.24,218774.0,27155.0,0
1784268730,0.24,217300.0,27318.0,0
1784268731,0.22,215751.0,34049.0,0
1784268732,0.23,214774.0,34096.0,0
1784268733,0.25,212866.0,28119.0,0
1784268734,0.25,211764.0,28251.0,0
1784268735,0.26,207808.0,29559.0,0
1784268736,0.25,211305.0,28607.0,0
1784268737,0.25,209684.0,32703.0,0
1784268738,0.25,208485.0,32867.0,0
1784268739,0.25,204676.0,35208.0,0
1784268740,0.26,204518.0,35018.0,0
1784268742,0.27,202106.0,31674.0,0
1784268743,0.27,203598.0,31295.0,0
1784268744,0.27,203748.0,30876.0,0
1784268745,0.26,208939.0,29535.0,0
1784268746,0.25,206546.0,34484.0,0
1784268747,0.25,210544.0,29774.0,0
1784268748,0.24,213982.0,28847.0,0
1784268749,0.25,210099.0,29967.0,0
1784268750,0.25,214124.0,28693.0,0
1784268751,0.25,212149.0,29778.0,0
1784268752,0.21,225841.0,28852.0,0
1784268753,0.19,234175.0,26147.0,0
1784268754,0.21,231728.0,23004.0,0
1784268755,0.21,230487.0,23678.0,0
1784268756,0.21,229893.0,23734.0,0
1784268757,0.19,242008.0,19316.0,0
1784268758,0.17,248558.0,18158.0,0
1784268759,0.17,245692.0,20237.0,0
1784268760,0.18,244758.0,20359.0,0
1784268761,0.18,244398.0,20359.0,0
1784268762,0.18,241303.0,22719.0,0
1784268763,0.18,239108.0,24521.0,0
1784268764,0.19,236592.0,25510.0,0
1784268765,0.19,235872.0,25510.0,0
1784268766,0.19,235512.0,25510.0,0
1784268767,0.19,234792.0,25510.0,0
1784268768,0.15,254099.0,20083.0,0
1784268769,0.13,262288.0,17774.0,0
1784268770,0.13,262048.0,17774.0,0
1784268771,0.11,272850.0,14745.0,0
1784268772,0.11,272220.0,14825.0,0
1784268773,0.11,271820.0,14825.0,0
1784268774,0.11,271620.0,14825.0,0
1784268775,0.11,269993.0,16024.0,0
1784268776,0.11,269793.0,16024.0,0
1784268778,0.12,268372.0,16024.0,0
1784268779,0.12,267697.0,16024.0,0
1784268780,0.12,265341.0,16988.0,0
1784268781,0.07,288975.0,10373.0,0
1784268782,0.07,288695.0,10373.0,0
1784268783,0.07,287937.0,10546.0,0
1784268784,0.07,286989.0,10908.0,0
1784268785,0.07,286257.0,11333.0,0
1784268786,0.08,284811.0,11982.0,0
1784268787,0.08,282604.0,12098.0,0
1784268788,0.08,282198.0,12098.0,0
1784268789,0.09,280500.0,13284.0,0
1784268790,0.09,280483.0,13392.0,0
1784268791,0.09,279663.0,13470.0,0
1784268792,0.09,279261.0,13470.0,0
1784268793,0.09,278781.0,13470.0,0
1784268794,0.09,278541.0,13470.0,0
1784268795,0.07,292023.0,8420.0,0
1784268796,0.05,297835.0,7141.0,0
1784268797,0.05,294715.0,9935.0,0
1784268798,0.05,294517.0,9935.0,0
1784268799,0.06,293143.0,10628.0,0
1784268800,0.06,292063.0,10872.0,0
1784268801,0.06,291835.0,10872.0,0
1784268802,0.06,291715.0,10872.0,0
1784268803,0.06,291475.0,10872.0,0
1784268804,0.06,291235.0,10872.0,0
1784268805,0.04,302891.0,6183.0,0
1784268806,0.04,302731.0,6183.0,0
1784268807,0.04,302025.0,6721.0,0
1784268808,0.03,305224.0,5383.0,0
1784268809,0.03,305184.0,5383.0,0
1784268810,0.03,305104.0,5383.0,0
1784268811,0.03,305024.0,5383.0,0
1784268812,0.04,304944.0,5383.0,0
1784268813,0.04,304864.0,5383.0,0
1784268814,0.04,304824.0,5383.0,0
1784268815,0.04,304744.0,5383.0,0
1784268817,0.04,304664.0,5383.0,0
1784268818,0.04,303968.0,5992.0,0
1784268819,0.04,303460.0,6065.0,0
1784268820,0.04,303380.0,6065.0,0
1784268821,0.04,302755.0,6192.0,0
1784268822,0.04,302675.0,6192.0,0
1784268823,0.04,302635.0,6192.0,0
1784268824,0.04,302555.0,6192.0,0
1784268825,0.04,302475.0,6192.0,0
1784268826,0.04,302395.0,6192.0,0
1784268827,0.04,302315.0,6192.0,0
1784268828,0.04,301695.0,6736.0,0
1784268829,0.04,301621.0,6736.0,0
1784268830,0.04,301163.0,6854.0,0
