t,token_usage,kv_available,kv_evictable,evicted_total
1784308261,0.0,39998.0,2.0,230008
1784308262,0.0,39998.0,2.0,230008
1784308264,0.0,39998.0,2.0,230008
1784308265,0.0,39998.0,2.0,230008
1784308266,0.3,27981.0,2.0,230008
1784308267,0.3,27903.0,2.0,230008
1784308268,0.21,23647.0,8113.0,230008
1784308269,0.21,23583.0,8113.0,230008
1784308270,0.31,19182.0,8251.0,230008
1784308271,0.0,19018.0,20982.0,230008
1784308272,0.21,18687.0,12787.0,230008
1784308273,0.21,14502.0,17183.0,230008
1784308274,0.21,14502.0,17183.0,230008
1784308275,0.32,10000.0,17321.0,230008
1784308276,0.1,9887.0,25959.0,230008
1784308277,0.22,9528.0,21826.0,230008
1784308278,0.21,5363.0,26253.0,230008
1784308279,0.11,5159.0,30448.0,230008
1784308280,0.32,855.0,26391.0,230008
1784308281,0.21,755.0,30843.0,230008
1784308282,0.22,395.0,30981.0,246092
1784308283,0.1,4245.0,31663.0,246092
1784308284,0.11,4086.0,31532.0,246092
1784308285,0.21,4459.0,27274.0,255430
1784308286,0.0,4405.0,35595.0,255430
1784308287,0.21,4056.0,27412.0,264370
1784308288,0.21,4356.0,27319.0,264370
1784308289,0.21,4011.0,27457.0,264370
1784308290,0.32,4381.0,22952.0,273380
1784308291,0.1,4300.0,31585.0,273380
1784308292,0.32,4413.0,22895.0,282510
1784308293,0.0,4289.0,35711.0,282510
1784308294,0.21,3965.0,27438.0,282510
1784308295,0.21,4357.0,27270.0,291690
1784308296,0.11,4168.0,31465.0,291690
1784308297,0.32,4433.0,22845.0,300816
1784308298,0.1,4345.0,31551.0,300816
1784308299,0.21,4003.0,27409.0,309974
1784308300,0.32,4482.0,22830.0,309974
1784308301,0.11,4266.0,31390.0,309974
1784308302,0.31,38.0,27395.0,310102
1784308303,0.21,18.0,31734.0,310230
1784308304,0.21,4116.0,27421.0,319004
1784308306,0.1,21.0,35920.0,319132
1784308307,0.0,2.0,39998.0,337106
1784308308,0.52,950.0,18302.0,346226
1784308309,0.52,790.0,18302.0,346226
1784308310,0.32,876.0,26459.0,355354
1784308311,0.1,749.0,35122.0,355354
1784308312,0.22,390.0,30977.0,364484
1784308313,0.21,857.0,30841.0,364484
1784308314,0.11,656.0,34968.0,364484
1784308315,0.32,924.0,26438.0,373566
1784308316,0.1,837.0,35068.0,373566
1784308317,0.21,481.0,31002.0,382806
1784308318,0.1,911.0,34999.0,382806
1784308319,0.11,753.0,34895.0,382806
1784308320,0.31,4774.0,22640.0,399274
1784308321,0.21,4690.0,27051.0,399274
1784308322,0.31,233.0,27189.0,399274
1784308323,0.1,126.0,35775.0,399274
1784308324,0.21,4135.0,27331.0,407992
1784308325,0.32,49.0,27267.0,408120
1784308326,0.0,43.0,39957.0,408248
1784308327,0.32,4525.0,22757.0,426162
1784308328,0.21,4445.0,27166.0,426162
1784308329,0.22,4064.0,27304.0,426162
1784308330,0.1,4397.0,31473.0,435290
1784308331,0.11,4231.0,31384.0,435290
1784308332,0.32,4412.0,22815.0,444274
1784308333,0.1,4342.0,31559.0,444274
1784308334,0.22,3989.0,27397.0,453372
1784308335,0.21,4433.0,27289.0,453372
1784308336,0.11,4226.0,31426.0,453372
1784308337,0.32,4456.0,22926.0,462374
1784308339,0.21,4357.0,27330.0,462374
1784308340,0.21,4009.0,27468.0,471396
1784308341,0.1,4245.0,31581.0,471396
1784308342,0.22,3908.0,27452.0,471396
1784308343,0.21,4291.0,27316.0,480490
1784308344,0.21,4291.0,27316.0,480490
1784308345,0.32,4339.0,22887.0,489624
1784308346,0.1,4232.0,31619.0,489624
1784308347,0.22,3875.0,27495.0,489624
1784308348,0.32,4341.0,22913.0,498788
1784308349,0.31,5030.0,22523.0,517030
1784308350,0.32,597.0,26762.0,517030
1784308351,0.21,461.0,31217.0,517030
1784308352,0.21,83.0,31355.0,517030
1784308353,0.1,515.0,35478.0,526020
1784308354,0.11,324.0,35349.0,526020
1784308355,0.31,600.0,26833.0,535118
1784308356,0.0,463.0,39537.0,535118
1784308357,0.32,607.0,26743.0,544334
1784308358,0.32,487.0,26743.0,544334
1784308359,0.22,127.0,31229.0,544334
1784308360,0.32,535.0,26675.0,553442
1784308361,0.11,303.0,35288.0,553442
1784308362,0.32,4606.0,22694.0,570540
1784308363,0.21,4513.0,27162.0,570540
1784308364,0.21,4131.0,27300.0,579460
1784308365,0.1,4305.0,31510.0,579460
1784308367,0.11,4135.0,31532.0,579460
1784308368,0.21,4395.0,27211.0,588632
1784308369,0.1,4333.0,31552.0,588632
1784308370,0.22,3958.0,27349.0,597540
1784308371,0.21,4180.0,27392.0,597540
1784308372,0.22,3841.0,27530.0,597540
1784308373,0.32,4330.0,22980.0,606640
1784308374,0.1,4251.0,31710.0,606640
1784308375,0.32,4315.0,23020.0,615648
1784308376,0.21,4237.0,27492.0,615648
1784308377,0.21,3865.0,27630.0,615648
1784308378,0.1,4311.0,31631.0,624860
1784308379,0.11,4141.0,31521.0,624860
1784308380,0.32,4417.0,22951.0,633988
1784308381,0.1,4301.0,31581.0,633988
1784308382,0.21,3994.0,27486.0,643050
1784308383,0.1,4240.0,31591.0,643050
1784308384,0.11,4073.0,31581.0,643050
1784308385,0.32,4397.0,22831.0,652320
1784308386,0.1,4330.0,31557.0,652320
1784308387,0.22,3968.0,27374.0,661408
1784308388,0.21,4383.0,27297.0,661408
1784308389,0.11,4183.0,31456.0,661408
1784308390,0.53,513.0,18334.0,679610
1784308391,0.32,328.0,26985.0,679610
1784308392,0.31,537.0,26968.0,688680
1784308393,0.31,459.0,26968.0,688680
1784308394,0.21,42.0,31481.0,688680
1784308395,0.31,444.0,26970.0,697702
1784308396,0.0,359.0,39641.0,697702
1784308397,0.31,463.0,26943.0,706788
1784308398,0.21,361.0,31301.0,706788
1784308399,0.21,4.0,31439.0,706916
1784308400,0.32,458.0,26834.0,715998
1784308401,0.11,226.0,35411.0,715998
1784308402,0.32,502.0,26798.0,725096
1784308403,0.21,430.0,31220.0,725096
1784308404,0.22,60.0,31293.0,742464
1784308405,0.21,4499.0,27096.0,742464
1784308406,0.11,4309.0,31308.0,742464
