t,token_usage,kv_available,kv_evictable,evicted_total
1784308260,0.0,39998.0,2.0,0
1784308261,0.0,39998.0,2.0,0
1784308262,0.0,39998.0,2.0,0
1784308263,0.0,39998.0,2.0,0
1784308264,0.3,27903.0,2.0,0
1784308265,0.0,27855.0,12145.0,0
1784308266,0.21,23563.0,8113.0,0
1784308267,0.21,23563.0,8113.0,0
1784308268,0.32,19142.0,8251.0,0
1784308269,0.1,19034.0,16892.0,0
1784308270,0.21,23224.0,8251.0,0
1784308271,0.1,19006.0,16874.0,0
1784308273,0.21,23211.0,8251.0,0
1784308274,0.21,18986.0,12618.0,0
1784308275,0.21,18986.0,12618.0,0
1784308276,0.32,19004.0,8251.0,0
1784308277,0.1,18899.0,16991.0,0
1784308278,0.22,23125.0,8251.0,0
1784308279,0.32,18945.0,8251.0,0
1784308280,0.11,23301.0,12333.0,0
1784308281,0.32,19043.0,8251.0,0
1784308282,0.21,18971.0,12676.0,0
1784308283,0.21,23162.0,8251.0,0
1784308284,0.21,19015.0,12692.0,0
1784308285,0.11,23428.0,12254.0,0
1784308286,0.32,19112.0,8250.0,0
1784308287,0.1,19031.0,16847.0,0
1784308288,0.21,23212.0,8250.0,0
1784308289,0.1,18992.0,16883.0,0
1784308290,0.11,23313.0,12305.0,0
1784308291,0.21,18997.0,12655.0,0
1784308292,0.21,18997.0,12655.0,0
1784308293,0.32,19065.0,8250.0,0
1784308294,0.0,18922.0,21078.0,0
1784308295,0.22,23110.0,8250.0,0
1784308296,0.21,18957.0,12676.0,0
1784308297,0.11,23323.0,12298.0,0
1784308298,0.32,19097.0,8249.0,0
1784308300,0.1,19011.0,16937.0,0
1784308301,0.21,23228.0,8249.0,0
1784308302,0.1,19064.0,16870.0,0
1784308303,0.21,23288.0,8249.0,0
1784308304,0.21,19153.0,12604.0,0
1784308305,0.2,23406.0,8422.0,0
1784308306,0.52,18913.0,278.0,0
1784308307,0.21,18817.0,12861.0,0
1784308308,0.21,22935.0,8503.0,0
1784308309,0.1,18717.0,17166.0,0
1784308310,0.11,23065.0,12566.0,0
1784308311,0.32,18852.0,8504.0,0
1784308312,0.1,18732.0,17211.0,0
1784308313,0.21,22940.0,8504.0,0
1784308314,0.21,18798.0,12930.0,0
1784308315,0.11,23158.0,12542.0,0
1784308316,0.31,18905.0,8504.0,0
1784308317,0.1,18807.0,17121.0,0
1784308318,0.21,22963.0,8504.0,0
1784308319,0.1,18797.0,17137.0,0
1784308320,0.11,23188.0,12508.0,0
1784308321,0.21,18851.0,12867.0,0
1784308322,0.0,18793.0,21207.0,0
1784308323,0.32,18846.0,8504.0,0
1784308324,0.1,18753.0,17139.0,0
1784308325,0.21,22903.0,8504.0,0
1784308327,0.0,18653.0,21347.0,0
1784308328,0.22,22863.0,8504.0,0
1784308329,0.32,18736.0,8504.0,0
1784308330,0.21,18647.0,12933.0,0
1784308331,0.32,18767.0,8504.0,0
1784308332,0.1,18663.0,17248.0,0
1784308333,0.21,22902.0,8504.0,0
1784308334,0.32,18802.0,8504.0,0
1784308335,0.11,23153.0,12503.0,0
1784308336,0.32,18879.0,8504.0,0
1784308337,0.21,18804.0,12908.0,0
1784308338,0.21,22972.0,8504.0,0
1784308339,0.21,18714.0,12861.0,0
1784308340,0.11,23034.0,12614.0,0
1784308341,0.32,18734.0,8504.0,0
1784308342,0.1,18655.0,17245.0,0
1784308343,0.22,22851.0,8504.0,0
1784308344,0.21,18649.0,12974.0,0
1784308345,0.11,23043.0,12599.0,0
1784308346,0.53,18570.0,347.0,0
1784308347,0.42,18480.0,4763.0,0
1784308348,0.21,22651.0,8763.0,0
1784308349,0.21,18471.0,13218.0,0
1784308350,0.21,22732.0,8763.0,0
1784308351,0.32,18630.0,8763.0,0
1784308352,0.32,18630.0,8763.0,0
1784308353,0.31,18651.0,8763.0,0
1784308354,0.1,18554.0,17335.0,0
1784308355,0.21,22709.0,8763.0,0
1784308356,0.32,18518.0,8763.0,0
1784308357,0.11,22764.0,12865.0,0
1784308358,0.32,18498.0,8763.0,0
1784308359,0.21,18423.0,13193.0,0
1784308360,0.22,22602.0,8763.0,0
1784308361,0.21,18433.0,13231.0,0
1784308362,0.11,22851.0,12782.0,0
1784308363,0.32,18453.0,8763.0,0
1784308364,0.1,18377.0,17433.0,0
1784308365,0.22,22591.0,8763.0,0
1784308366,0.21,18441.0,13155.0,0
1784308368,0.11,22754.0,12806.0,0
1784308369,0.32,18407.0,8763.0,0
1784308370,0.21,18309.0,13260.0,0
1784308371,0.32,18585.0,8763.0,0
1784308372,0.1,18468.0,17493.0,0
1784308373,0.21,22663.0,8763.0,0
1784308374,0.21,18495.0,13235.0,0
1784308375,0.0,23054.0,16946.0,0
1784308376,0.31,18674.0,8763.0,0
1784308377,0.21,18581.0,13116.0,0
1784308378,0.21,22707.0,8763.0,0
1784308379,0.32,18577.0,8763.0,0
1784308380,0.11,22870.0,12816.0,0
1784308381,0.21,18475.0,13136.0,0
1784308382,0.1,18415.0,17399.0,0
1784308383,0.22,22581.0,8763.0,0
1784308384,0.21,18430.0,13168.0,0
1784308385,0.22,22607.0,8763.0,0
1784308386,0.32,18512.0,8763.0,0
1784308387,0.21,22783.0,8634.0,0
1784308388,0.32,18355.0,9035.0,0
1784308389,0.21,18275.0,13447.0,0
1784308390,0.21,22460.0,9035.0,0
1784308391,0.1,18304.0,17641.0,0
1784308392,0.11,22643.0,13038.0,0
1784308393,0.31,18375.0,9035.0,0
1784308394,0.1,18303.0,17633.0,0
1784308395,0.21,22475.0,9035.0,0
1784308396,0.21,18296.0,13393.0,0
1784308397,0.11,22574.0,13109.0,0
1784308398,0.32,18291.0,9035.0,0
1784308399,0.21,18201.0,13410.0,0
1784308400,0.21,22373.0,9035.0,0
1784308402,0.1,18157.0,17727.0,0
1784308403,0.11,22543.0,13094.0,0
1784308404,0.21,18180.0,13457.0,0
1784308405,0.1,18117.0,17741.0,0
1784308406,0.32,18296.0,9035.0,0
1784308407,0.21,18219.0,13463.0,0
1784308408,0.21,22405.0,9035.0,0
1784308409,0.32,18324.0,9035.0,0
1784308410,0.1,18226.0,17695.0,0
1784308411,0.32,18338.0,9035.0,0
1784308412,0.1,18225.0,17652.0,0
1784308413,0.21,22386.0,9035.0,0
1784308414,0.21,18239.0,13422.0,0
1784308415,0.11,22557.0,13077.0,0
1784308416,0.32,18233.0,9035.0,0
1784308417,0.21,18145.0,13460.0,0
1784308418,0.22,22332.0,9035.0,0
1784308419,0.1,18113.0,17767.0,0
1784308420,0.11,22514.0,13099.0,0
1784308421,0.32,18234.0,9035.0,0
